Altersklasse,Covid-Fälle
0 - 9,125
10 - 19,1165
20 - 29,2290
30 - 39,2012
40 - 49,1787
50 - 59,2156
60 - 69,1361
70 - 79,799
80+,1049
Unbekannt,2
