Altersklasse,Männer,Frauen,Total
0 - 9,104.0,82.0,186.0
10 - 19,815.0,773.0,1588.0
20 - 29,1548.0,1655.0,3203.0
30 - 39,1505.0,1467.0,2974.0
40 - 49,1331.0,1405.0,2739.0
50 - 59,1478.0,1428.0,2907.0
60 - 69,911.0,800.0,1712.0
70 - 79,456.0,424.0,880.0
80+,319.0,488.0,807.0
