Altersklasse,Covid-Fälle
0 - 9,143
10 - 19,1207
20 - 29,2323
30 - 39,2061
40 - 49,1820
50 - 59,2196
60 - 69,1376
70 - 79,814
80+,1063
Unbekannt,2
