Altersklasse,Covid-Fälle
0 - 9,550
10 - 19,2122
20 - 29,3533
30 - 39,3164
40 - 49,2735
50 - 59,3048
60 - 69,1812
70 - 79,1003
80+,1176
Unbekannt,4
