Altersklasse,Männer,Frauen,Total
0 - 9,28,20,48
10 - 19,278,307,585
20 - 29,797,732,1529
30 - 39,603,599,1202
40 - 49,535,512,1047
50 - 59,630,626,1256
60 - 69,381,289,670
70 - 79,173,161,334
80+,118,197,315
