Altersklasse,Covid-Fälle
0 - 9,239
10 - 19,1582
20 - 29,2798
30 - 39,2829
40 - 49,2434
50 - 59,2973
60 - 69,1772
70 - 79,994
80+,1188
Unbekannt,6
