Altersklasse,Covid-Fälle
0 - 9,229
10 - 19,1539
20 - 29,2742
30 - 39,2763
40 - 49,2387
50 - 59,2914
60 - 69,1731
70 - 79,985
80+,1185
Unbekannt,6
