Altersklasse,Covid-Fälle
0 - 9,455
10 - 19,3212
20 - 29,5920
30 - 39,5907
40 - 49,5487
50 - 59,5836
60 - 69,3482
70 - 79,1942
80+,2293
Unbekannt,6
