Altersklasse,Männer,Frauen,Total
0 - 9,11,7,18
10 - 19,80,89,169
20 - 29,207,229,436
30 - 39,177,197,374
40 - 49,168,147,315
50 - 59,209,208,417
60 - 69,133,139,272
70 - 79,91,90,181
80+,59,80,139
