Altersklasse,Männer,Frauen,Total
0 - 9,22,22,44
10 - 19,290,341,631
20 - 29,781,696,1477
30 - 39,596,507,1103
40 - 49,504,480,984
50 - 59,592,616,1208
60 - 69,422,382,804
70 - 79,236,198,434
80+,179,235,414
