Altersklasse,Männer,Frauen,Total
0 - 9,28.0,21.0,49.0
10 - 19,176.0,211.0,387.0
20 - 29,442.0,497.0,939.0
30 - 39,406.0,461.0,867.0
40 - 49,370.0,352.0,722.0
50 - 59,460.0,473.0,933.0
60 - 69,286.0,283.0,569.0
70 - 79,184.0,171.0,355.0
80+,118.0,178.0,296.0
