Altersklasse,Covid-Fälle
0 - 9,490
10 - 19,4040
20 - 29,7285
30 - 39,6763
40 - 49,6310
50 - 59,7016
60 - 69,4187
70 - 79,2576
80+,2906
Unbekannt,5
