Altersklasse,Männer,Frauen,Total
0 - 9,24,15,39
10 - 19,227,261,488
20 - 29,699,629,1328
30 - 39,512,537,1049
40 - 49,464,432,896
50 - 59,558,556,1114
60 - 69,331,249,580
70 - 79,151,133,284
80+,86,141,227
