Altersklasse,Männer,Frauen,Total
0 - 9,28.0,21.0,49.0
10 - 19,175.0,206.0,381.0
20 - 29,433.0,487.0,920.0
30 - 39,399.0,456.0,855.0
40 - 49,360.0,345.0,705.0
50 - 59,452.0,460.0,912.0
60 - 69,279.0,276.0,555.0
70 - 79,182.0,170.0,352.0
80+,115.0,170.0,285.0
