Altersklasse,Männer,Frauen,Total
0 - 9,90.0,79.0,169.0
10 - 19,728.0,710.0,1438.0
20 - 29,1423.0,1507.0,2930.0
30 - 39,1394.0,1338.0,2734.0
40 - 49,1222.0,1271.0,2496.0
50 - 59,1372.0,1302.0,2675.0
60 - 69,840.0,718.0,1559.0
70 - 79,425.0,393.0,818.0
80+,293.0,435.0,728.0
