Altersklasse,Covid-Fälle
0 - 9,197
10 - 19,1387
20 - 29,2517
30 - 39,2244
40 - 49,1992
50 - 59,2365
60 - 69,1464
70 - 79,870
80+,1105
Unbekannt,2
