Altersklasse,Covid-Fälle
0 - 9,476
10 - 19,1883
20 - 29,3132
30 - 39,2894
40 - 49,2573
50 - 59,2920
60 - 69,1770
70 - 79,987
80+,1167
Unbekannt,2
