Altersklasse,Männer,Frauen,Total
0 - 9,17,14,31
10 - 19,196,227,423
20 - 29,611,549,1160
30 - 39,449,456,905
40 - 49,410,368,778
50 - 59,492,473,965
60 - 69,283,222,505
70 - 79,131,115,246
80+,76,127,203
