Altersklasse,Covid-Fälle
0 - 9,377
10 - 19,1740
20 - 29,2971
30 - 39,2710
40 - 49,2417
50 - 59,2744
60 - 69,1696
70 - 79,955
80+,1147
Unbekannt,2
