Altersklasse,Covid-Fälle
0 - 9,285
10 - 19,3081
20 - 29,6105
30 - 39,5553
40 - 49,5128
50 - 59,5975
60 - 69,3642
70 - 79,2366
80+,2800
Unbekannt,5
