Altersklasse,Männer,Frauen,Total
0 - 9,7,5,12
10 - 19,37,39,76
20 - 29,122,133,255
30 - 39,86,104,190
40 - 49,85,84,169
50 - 59,116,116,232
60 - 69,79,77,156
70 - 79,58,57,115
80+,30,35,65
