Altersklasse,Männer,Frauen,Total
0 - 9,36,36,72
10 - 19,471,542,1013
20 - 29,1203,1176,2379
30 - 39,1007,878,1885
40 - 49,857,908,1765
50 - 59,997,1036,2033
60 - 69,703,638,1341
70 - 79,470,387,857
80+,493,856,1349
