Altersklasse,Covid-Fälle
0 - 9,266
10 - 19,1642
20 - 29,2895
30 - 39,2917
40 - 49,2509
50 - 59,3052
60 - 69,1802
70 - 79,1015
80+,1200
Unbekannt,6
