Altersklasse,Covid-Fälle
0 - 9,178
10 - 19,1680
20 - 29,3983
30 - 39,3435
40 - 49,2928
50 - 59,3429
60 - 69,1821
70 - 79,1064
80+,1456
Unbekannt,2
