Altersklasse,Covid-Fälle
0 - 9,339
10 - 19,1938
20 - 29,3304
30 - 39,3222
40 - 49,2729
50 - 59,3303
60 - 69,1887
70 - 79,1054
80+,1230
Unbekannt,6
