Altersklasse,Männer,Frauen,Total
0 - 9,113.0,88.0,201.0
10 - 19,894.0,862.0,1756.0
20 - 29,1671.0,1787.0,3458.0
30 - 39,1611.0,1589.0,3202.0
40 - 49,1445.0,1541.0,2989.0
50 - 59,1596.0,1542.0,3139.0
60 - 69,993.0,879.0,1873.0
70 - 79,509.0,465.0,974.0
80+,354.0,550.0,904.0
