Altersklasse,Covid-Fälle
0 - 9,237
10 - 19,1482
20 - 29,2605
30 - 39,2345
40 - 49,2077
50 - 59,2444
60 - 69,1515
70 - 79,877
80+,1114
Unbekannt,2
