Altersklasse,Covid-Fälle
0 - 9,170
10 - 19,2259
20 - 29,4973
30 - 39,4415
40 - 49,4069
50 - 59,4829
60 - 69,2983
70 - 79,1951
80+,2348
Unbekannt,4
