Altersklasse,Covid-Fälle
0 - 9,294
10 - 19,3147
20 - 29,6209
30 - 39,5644
40 - 49,5198
50 - 59,6053
60 - 69,3682
70 - 79,2383
80+,2811
Unbekannt,5
