Altersklasse,Covid-Fälle
0 - 9,326
10 - 19,1628
20 - 29,2821
30 - 39,2543
40 - 49,2251
50 - 59,2610
60 - 69,1604
70 - 79,918
80+,1134
Unbekannt,2
