Altersklasse,Covid-Fälle
0 - 9,490
10 - 19,1943
20 - 29,3203
30 - 39,2958
40 - 49,2608
50 - 59,2962
60 - 69,1785
70 - 79,992
80+,1170
Unbekannt,2
