Altersklasse,Männer,Frauen,Total
0 - 9,50.0,33.0,83.0
10 - 19,456.0,503.0,959.0
20 - 29,1197.0,1195.0,2392.0
30 - 39,967.0,980.0,1947.0
40 - 49,793.0,831.0,1624.0
50 - 59,916.0,1002.0,1918.0
60 - 69,570.0,451.0,1021.0
70 - 79,291.0,269.0,560.0
80+,252.0,417.0,669.0
