Altersklasse,Covid-Fälle
0 - 9,350
10 - 19,2377
20 - 29,5030
30 - 39,4414
40 - 49,3880
50 - 59,4333
60 - 69,2373
70 - 79,1314
80+,1637
Unbekannt,2
