Altersklasse,Covid-Fälle
0 - 9,146
10 - 19,1220
20 - 29,2373
30 - 39,2342
40 - 49,2047
50 - 59,2556
60 - 69,1517
70 - 79,894
80+,1148
Unbekannt,6
