Altersklasse,Covid-Fälle
0 - 9,213
10 - 19,1473
20 - 29,2646
30 - 39,2661
40 - 49,2322
50 - 59,2843
60 - 69,1678
70 - 79,967
80+,1181
Unbekannt,6
