Altersklasse,Covid-Fälle
0 - 9,325
10 - 19,1848
20 - 29,3110
30 - 39,3120
40 - 49,2673
50 - 59,3252
60 - 69,1870
70 - 79,1045
80+,1230
Unbekannt,6
