Altersklasse,Covid-Fälle
0 - 9,853
10 - 19,4071
20 - 29,6894
30 - 39,6865
40 - 49,6516
50 - 59,6723
60 - 69,3932
70 - 79,2162
80+,2390
Unbekannt,7
