Altersklasse,Covid-Fälle
0 - 9,607
10 - 19,3548
20 - 29,6601
30 - 39,5680
40 - 49,4848
50 - 59,5141
60 - 69,2782
70 - 79,1449
80+,1751
Unbekannt,5
