Altersklasse,Covid-Fälle
0 - 9,490
10 - 19,3066
20 - 29,5843
30 - 39,5074
40 - 49,4465
50 - 59,4866
60 - 69,2656
70 - 79,1408
80+,1697
Unbekannt,2
