Altersklasse,Covid-Fälle
0 - 9,515
10 - 19,4148
20 - 29,7357
30 - 39,6845
40 - 49,6403
50 - 59,7067
60 - 69,4213
70 - 79,2579
80+,2911
Unbekannt,5
