Altersklasse,Covid-Fälle
0 - 9,356
10 - 19,2436
20 - 29,5094
30 - 39,4474
40 - 49,3942
50 - 59,4383
60 - 69,2406
70 - 79,1327
80+,1641
Unbekannt,2
