Altersklasse,Covid-Fälle
0 - 9,109
10 - 19,1110
20 - 29,2233
30 - 39,1941
40 - 49,1706
50 - 59,2083
60 - 69,1310
70 - 79,786
80+,1038
Unbekannt,2
