Altersklasse,Covid-Fälle
0 - 9,290
10 - 19,2066
20 - 29,4521
30 - 39,3967
40 - 49,3457
50 - 59,3922
60 - 69,2139
70 - 79,1215
80+,1578
Unbekannt,2
