Altersklasse,Covid-Fälle
0 - 9,346
10 - 19,3320
20 - 29,6499
30 - 39,5967
40 - 49,5491
50 - 59,6317
60 - 69,3828
70 - 79,2451
80+,2837
Unbekannt,5
