Altersklasse,Covid-Fälle
0 - 9,580
10 - 19,3479
20 - 29,6320
30 - 39,6283
40 - 49,5879
50 - 59,6239
60 - 69,3694
70 - 79,2038
80+,2353
Unbekannt,6
