Altersklasse,Covid-Fälle
0 - 9,329
10 - 19,3247
20 - 29,6383
30 - 39,5840
40 - 49,5365
50 - 59,6202
60 - 69,3775
70 - 79,2423
80+,2828
Unbekannt,5
