Altersklasse,Männer,Frauen,Total
0 - 9,138.0,133.0,271.0
10 - 19,1041.0,1033.0,2074.0
20 - 29,1939.0,2118.0,4057.0
30 - 39,1902.0,1924.0,3828.0
40 - 49,1713.0,1860.0,3576.0
50 - 59,1904.0,1902.0,3807.0
60 - 69,1178.0,1087.0,2266.0
70 - 79,635.0,569.0,1204.0
80+,468.0,816.0,1284.0
