Altersklasse,Covid-Fälle
0 - 9,474
10 - 19,3008
20 - 29,5751
30 - 39,5025
40 - 49,4439
50 - 59,4836
60 - 69,2648
70 - 79,1406
80+,1690
Unbekannt,2
