Altersklasse,Covid-Fälle
0 - 9,1278
10 - 19,5371
20 - 29,8679
30 - 39,8525
40 - 49,7981
50 - 59,7998
60 - 69,4534
70 - 79,2360
80+,2510
Unbekannt,7
