Altersklasse,Covid-Fälle
0 - 9,545
10 - 19,2117
20 - 29,3525
30 - 39,3151
40 - 49,2727
50 - 59,3043
60 - 69,1811
70 - 79,1003
80+,1176
Unbekannt,4
