Altersklasse,Männer,Frauen,Total
0 - 9,14,7,21
10 - 19,91,110,201
20 - 29,238,255,493
30 - 39,209,236,445
40 - 49,197,170,367
50 - 59,246,245,491
60 - 69,158,157,315
70 - 79,101,102,203
80+,68,98,166
