Altersklasse,Covid-Fälle
0 - 9,328
10 - 19,2219
20 - 29,4727
30 - 39,4175
40 - 49,3650
50 - 59,4101
60 - 69,2249
70 - 79,1277
80+,1621
Unbekannt,2
