Altersklasse,Männer,Frauen,Total
0 - 9,61.0,70.0,131.0
10 - 19,909.0,1017.0,1926.0
20 - 29,2026.0,2241.0,4267.0
30 - 39,1875.0,1822.0,3697.0
40 - 49,1612.0,1762.0,3374.0
50 - 59,1910.0,2131.0,4041.0
60 - 69,1293.0,1196.0,2489.0
70 - 79,852.0,749.0,1601.0
80+,698.0,1247.0,1945.0
