Altersklasse,Männer,Frauen,Total
0 - 9,51.0,56.0,107.0
10 - 19,747.0,829.0,1576.0
20 - 29,1694.0,1839.0,3533.0
30 - 39,1519.0,1408.0,2927.0
40 - 49,1295.0,1434.0,2729.0
50 - 59,1522.0,1687.0,3209.0
60 - 69,1054.0,955.0,2009.0
70 - 79,659.0,583.0,1242.0
80+,527.0,922.0,1449.0
