Altersklasse,Covid-Fälle
0 - 9,499
10 - 19,1980
20 - 29,3282
30 - 39,3007
40 - 49,2639
50 - 59,2981
60 - 69,1793
70 - 79,995
80+,1170
Unbekannt,2
