Altersklasse,Covid-Fälle
0 - 9,323
10 - 19,1830
20 - 29,3084
30 - 39,3103
40 - 49,2662
50 - 59,3243
60 - 69,1862
70 - 79,1044
80+,1223
Unbekannt,6
