Altersklasse,Covid-Fälle
0 - 9,188
10 - 19,2595
20 - 29,5553
30 - 39,4933
40 - 49,4531
50 - 59,5418
60 - 69,3289
70 - 79,2160
80+,2585
Unbekannt,4
