Altersklasse,Männer,Frauen,Total
0 - 9,51,40,91
10 - 19,388,392,780
20 - 29,852,881,1733
30 - 39,786,743,1530
40 - 49,709,704,1415
50 - 59,805,749,1555
60 - 69,499,409,909
70 - 79,257,227,484
80+,157,201,358
