Altersklasse,Männer,Frauen,Total
0 - 9,58.0,39.0,97.0
10 - 19,539.0,580.0,1119.0
20 - 29,1345.0,1371.0,2716.0
30 - 39,1140.0,1138.0,2278.0
40 - 49,912.0,985.0,1897.0
50 - 59,1066.0,1180.0,2246.0
60 - 69,666.0,540.0,1206.0
70 - 79,350.0,338.0,688.0
80+,329.0,584.0,913.0
