Altersklasse,Männer,Frauen,Total
0 - 9,58,47,105
10 - 19,500,492,992
20 - 29,1023,1067,2090
30 - 39,974,924,1900
40 - 49,863,883,1748
50 - 59,974,923,1898
60 - 69,597,489,1087
70 - 79,330,277,607
80+,219,276,495
