Altersklasse,Männer,Frauen,Total
0 - 9,28,20,48
10 - 19,269,296,565
20 - 29,780,710,1490
30 - 39,584,590,1174
40 - 49,523,491,1014
50 - 59,617,614,1231
60 - 69,374,282,656
70 - 79,171,154,325
80+,116,191,307
