Altersklasse,Männer,Frauen,Total
0 - 9,37.0,29.0,66.0
10 - 19,341.0,369.0,710.0
20 - 29,711.0,791.0,1502.0
30 - 39,677.0,774.0,1451.0
40 - 49,595.0,616.0,1211.0
50 - 59,736.0,790.0,1526.0
60 - 69,465.0,438.0,903.0
70 - 79,277.0,257.0,534.0
80+,200.0,338.0,538.0
