Altersklasse,Covid-Fälle
0 - 9,366
10 - 19,3449
20 - 29,6667
30 - 39,6123
40 - 49,5650
50 - 59,6485
60 - 69,3905
70 - 79,2486
80+,2848
Unbekannt,5
