Altersklasse,Covid-Fälle
0 - 9,314
10 - 19,1602
20 - 29,2795
30 - 39,2523
40 - 49,2234
50 - 59,2590
60 - 69,1592
70 - 79,913
80+,1130
Unbekannt,2
